"Los cargos públicos del Sistema judicial que no pueden, de acuerdo con el artículo 127 de la Constitución española, ejercer otros cargos públicos ni pertenecer a partidos políticos o a sindicatos mientras sigan en activo son:",Solo los jueces.,Los magistrados y los fiscales.,Los jueces y los magistrados.,"Los jueces, los magistrados y también los fiscales.",3,El artículo 127 de la Constitución española establece que los jueces y magistrados no pueden ejercer otros cargos públicos ni pertenecer a partidos políticos o sindicatos mientras estén en activo.,Constitución Española 1978
"Según el artículo 62 de la Constitución española, ¿a quién corresponde convocar y disolver las Cortes Generales y convocar elecciones?",Al presidente del Gobierno.,Al presidente del Congreso de los Diputados.,Al rey.,Al Gobierno.,3,El artículo 62 de la Constitución española establece que corresponde al rey convocar y disolver las Cortes Generales y convocar elecciones.,Constitución Española 1978
"Según el artículo 62 de la Constitución española, ¿a quién corresponde sancionar y promulgar las leyes?",Al rey.,Al Congreso de los Diputados.,Al Senado.,Al Gobierno.,1,El artículo 62 de la Constitución española establece que corresponde al rey sancionar y promulgar las leyes.,Constitución Española 1978
"Según el artículo 63 de la Constitución española, ¿a quién corresponde acreditar a los embajadores y otros representantes diplomáticos?",Al ministro competente en materia de relaciones exteriores.,Al presidente del Congreso de los Diputados.,Al presidente del Gobierno.,Al rey.,4,El artículo 63 de la Constitución española establece que corresponde al rey acreditar a los embajadores y otros representantes diplomáticos.,Constitución Española 1978
"Según el artículo 66 de la Constitución española, las Cortes Generales ejercen la potestad legislativa del Estado:",Y aprueban los presupuestos y controlan la acción del Gobierno.,Y elaboran los presupuestos y controlan la acción de los gobiernos autonómicos.,Y elaboran los presupuestos y controlan la acción del Gobierno.,Y aprueban los presupuestos y controlan la acción de los gobiernos autonómicos.,1,"El artículo 66 de la Constitución española establece que las Cortes Generales ejercen la potestad legislativa del Estado, aprueban los presupuestos y controlan la acción del Gobierno.",Constitución Española 1978
"Según el artículo 117 de la Constitución española, ¿qué tipo de tribunales judiciales quedan prohibidos expresamente?",Los tribunales de honor.,Los tribunales militares.,Los tribunales de excepción.,Los jurados populares.,3,El artículo 117 de la Constitución española prohíbe expresamente los tribunales de excepción.,Constitución Española 1978
"Según el artículo 117 de la Constitución española, ¿cuál es la base de la organización y del funcionamiento de los tribunales judiciales?",El principio de independencia.,El principio de unidad jurisdiccional.,El principio de objetividad.,El principio de libertad jurisdiccional.,2,El artículo 117 de la Constitución española establece que la base de la organización y del funcionamiento de los tribunales judiciales es el principio de unidad jurisdiccional.,Constitución Española 1978
"Según el artículo 119 de la Constitución española, ¿es gratuita la justicia?","Sí, siempre.",Cuando lo disponga la ley.,"Sí, para aquellos que acrediten insuficiencia de recursos para litigar.",Las respuestas b) y c) son correctas.,4,El artículo 119 de la Constitución española establece que la justicia será gratuita cuando así lo disponga la ley y para quienes acrediten insuficiencia de recursos para litigar.,Constitución Española 1978
"Según el artículo 120 de la Constitución española, los procedimientos judiciales serán predominantemente orales, ¿en qué materia especialmente?",Criminal.,Penal.,Mercantil.,Civil.,2,"El artículo 120 de la Constitución española establece que los procedimientos judiciales serán predominantemente orales, especialmente en materia penal.",Constitución Española 1978
"Según el artículo 121 de la Constitución española, los daños causados por error judicial y los que sean como consecuencia del funcionamiento anormal de la Administración de justicia, ¿a qué darán derecho?",A la repetición del proceso judicial.,A una indemnización a cargo del Estado.,A interponer un nuevo recurso judicial.,Las respuestas a) y b) son correctas.,2,El artículo 121 de la Constitución española establece que los daños causados por error judicial o por el funcionamiento anormal de la Administración de justicia darán derecho a una indemnización a cargo del Estado.,Constitución Española 1978
"Según el artículo 136 de la Constitución española, el Tribunal de Cuentas dependerá directamente:",Del Consejo de Ministros.,Del ministro competente en materia de Hacienda.,Del ministerio Fiscal.,De las Cortes Generales.,4,El artículo 136 de la Constitución española establece que el Tribunal de Cuentas dependerá directamente de las Cortes Generales.,Constitución Española 1978
"Según el artículo 136 de la Constitución española, la composición, la organización y las funciones del Tribunal de Cuentas las regulará:",Una ley ordinaria.,Un real decreto.,Una ley orgánica.,El reglamento del Tribunal de Cuentas.,3,"El artículo 136 de la Constitución española establece que la composición, organización y funciones del Tribunal de Cuentas se regularán por una ley orgánica.",Constitución Española 1978
"Según el artículo 136 de la Constitución española, ¿cuál es el órgano fiscalizador supremo de las cuentas y de la gestión económica del Estado?",El ministerio competente en materia de Hacienda.,El Tribunal de Cuentas.,El ministerio fiscal.,El Consejo Económico y Social.,2,El artículo 136 de la Constitución española establece que el Tribunal de Cuentas es el órgano fiscalizador supremo de las cuentas y de la gestión económica del Estado.,Constitución Española 1978
"Según el artículo 136 de la Constitución española, ¿qué tipo de informe remitirá el Tribunal de Cuentas a las Cortes Generales?",Un informe anual.,Un informe semestral.,Un informe trimestral.,Un informe bimensual.,1,El artículo 136 de la Constitución española establece que el Tribunal de Cuentas remitirá a las Cortes Generales un informe anual.,Constitución Española 1978
"Según el artículo 120 de la Constitución española, ¿cómo serán las sentencias judiciales?",Motivadas siempre y pronunciadas en audiencia privada.,Motivadas siempre en materia penal y pronunciadas en audiencia pública.,Motivadas siempre y pronunciadas en audiencia pública.,Motivadas en algunos casos tasados y pronunciadas en audiencia privada.,3,El artículo 120 de la Constitución española establece que las sentencias judiciales serán siempre motivadas y pronunciadas en audiencia pública.,Constitución Española 1978
"Según el artículo 62 de la Constitución española, corresponde al rey:",Aprobar y sancionar las leyes.,Nombrar a los embajadores y el resto de representantes del Gobierno ante los demás Gobiernos extranjeros.,"Nombrar y separar a los miembros del Gobierno, a propuesta de su presidente.",Ejercer el derecho de gracia y conceder indultos generales.,1,El artículo 62 de la Constitución española establece que corresponde al rey sancionar y promulgar las leyes.,Constitución Española 1978
"De acuerdo con el artículo 122 de la Constitución española, ¿cuál es el órgano de gobierno de la Administración de Justicia?",El ministerio fiscal.,El ministerio competente en materia de justicia.,El Consejo General del Poder Judicial.,El Consejo de Estado.,3,El artículo 122 de la Constitución española establece que el Consejo General del Poder Judicial es el órgano de gobierno de la Administración de Justicia.,Constitución Española 1978
"De acuerdo con el artículo 122 de la Constitución española, ¿quién preside el Consejo General del Poder Judicial?",El ministro competente en materia de justicia.,El presidente del Tribunal Constitucional.,El presidente de la Audiencia Provincial.,El presidente del Tribunal Supremo.,4,El artículo 122 de la Constitución española establece que el presidente del Tribunal Supremo preside el Consejo General del Poder Judicial.,Constitución Española 1978
"De acuerdo con el artículo 122 de la Constitución española, ¿cuántos miembros forman parte del Consejo General del Poder Judicial?",Veinte miembros.,Quince miembros.,Doce miembros.,Dieciocho miembros.,1,El artículo 122 de la Constitución española establece que el Consejo General del Poder Judicial está compuesto por veinte miembros.,Constitución Española 1978
"De acuerdo con el artículo 122 de la Constitución española, ¿cuántos miembros del Consejo General del Poder Judicial son propuestos por las Cortes Generales?",Dos miembros cada cámara.,Tres miembros cada cámara.,Cuatro miembros cada cámara.,Cinco miembros cada cámara.,2,El artículo 122 de la Constitución española establece que las Cortes Generales proponen tres miembros cada cámara para el Consejo General del Poder Judicial.,Constitución Española 1978
"De acuerdo con el artículo 124 de la Constitución española, ¿qué órgano tiene la misión de promover la acción de la justicia en defensa de la legalidad?",El ministerio fiscal.,El Consejo General del Poder Judicial.,El ministerio competente en materia de justicia.,El Tribunal Supremo.,1,El artículo 124 de la Constitución española establece que el ministerio fiscal tiene la misión de promover la acción de la justicia en defensa de la legalidad.,Constitución Española 1978
"De acuerdo con el artículo 124 de la Constitución española, ¿quién propone el nombramiento del fiscal general del Estado?",El rey.,Las Cortes Generales.,El Gobierno.,El ministerio fiscal.,3,El artículo 124 de la Constitución española establece que el Gobierno propone el nombramiento del fiscal general del Estado.,Constitución Española 1978
"De acuerdo con el artículo 122 de la Constitución española, los miembros del Consejo General del Poder Judicial serán nombrados por un período de:",De tres años.,De cinco años.,De siete años.,De nueve años.,2,El artículo 122 de la Constitución española establece que los miembros del Consejo General del Poder Judicial serán nombrados por un período de cinco años.,Constitución Española 1978
"Según el artículo 125 de la Constitución española, ¿los ciudadanos pueden ejercer la acción popular y participar en la Administración de justicia?","No, únicamente pueden hacerlo los Tribunales.","Sí, mediante la institución del Jurado.","Sí, en los tribunales consuetudinarios y tradicionales.",Las respuestas b) y c) son correctas.,4,El artículo 125 de la Constitución española establece que los ciudadanos pueden ejercer la acción popular y participar en la Administración de justicia mediante la institución del Jurado y en los tribunales consuetudinarios y tradicionales.,Constitución Española 1978
"Según el artículo 126 de la Constitución española, ¿de quién depende la policía judicial?",Del ministerio fiscal y del fiscal general del Estado.,"De los jueces, de los tribunales y del ministerio fiscal.",De los jueces y de los tribunales.,Del Tribunal Supremo.,2,"El artículo 126 de la Constitución española establece que la policía judicial depende de los jueces, los tribunales y el ministerio fiscal.",Constitución Española 1978
"Según el artículo 127 de la Constitución española, los jueces, magistrados y fiscales mientras se hallen en activo podrán:",Desempeñar otros cargos públicos.,Pertenecer a partidos políticos.,Asociarse profesionalmente según la ley.,Pertenecer a sindicatos.,3,"El artículo 127 de la Constitución española establece que los jueces, magistrados y fiscales mientras estén en activo podrán asociarse profesionalmente según la ley, pero no podrán desempeñar otros cargos públicos ni pertenecer a partidos políticos o sindicatos.",Constitución Española 1978
"Según el artículo 117 de la Constitución española, los jueces y magistrados que integran el poder judicial son:","Independientes, inamovibles, responsables y sometidos únicamente al imperio de la ley.","Independientes, imparciales, responsables y sometidos únicamente al imperio de la ley.","Independientes, inamovibles, objetivos y sometidos únicamente al imperio de la ley.","Independientes, inamovibles, imparciales y sometidos únicamente al imperio de la Constitución.",1,"El artículo 117 de la Constitución española establece que los jueces y magistrados son independientes, inamovibles, responsables y sometidos únicamente al imperio de la ley.",Constitución Española 1978
El principio de independencia de los Jueces consiste:,En juzgar y hacer ejecutar lo juzgado.,En la potestad jurisdiccional.,En dictar sentencia.,En aplicar las leyes sin la intervención de otro poder.,4,"El principio de independencia de los jueces consiste en aplicar las leyes sin la intervención de otro poder, según el artículo 117 de la Constitución española.",Constitución Española 1978
"Según el artículo 54 de la Constitución española, ¿quién es el alto comisionado de las Cortes Generales que tiene como misión defender los derechos comprendidos en el título I?",El fiscal general del estado.,El Defensor del Pueblo.,El ministro competente en materia de justicia.,El presidente del Consejo General del Poder Judicial.,2,El artículo 54 de la Constitución española establece que el Defensor del Pueblo es el alto comisionado de las Cortes Generales encargado de defender los derechos comprendidos en el título I.,Constitución Española 1978
"Según el artículo 62 de la Constitución española, la potestad de convocar a Referéndum, en los casos previstos en la Constitución, corresponde:",Al presidente del Gobierno.,Al Consejo de Ministros.,Al Rey.,A las Cortes Generales.,3,El artículo 62 de la Constitución española establece que corresponde al rey convocar a Referéndum en los casos previstos en la Constitución.,Constitución Española 1978
"Según el artículo 162 de la Constitución española, el Defensor del Pueblo podrá interponer:",Recursos de amparo.,Recursos de inconstitucionalidad.,Cuestiones de inconstitucionalidad.,Las respuestas a) y b) son correctas.,4,El artículo 162 de la Constitución española establece que el Defensor del Pueblo podrá interponer recursos de amparo y recursos de inconstitucionalidad.,Constitución Española 1978
"Según el artículo 54 de la Constitución española, ¿qué tipo de norma regulará la institución del Defensor del Pueblo?",Una ley orgánica.,Un real decreto.,Una ley ordinaria.,Un reglamento de las Cortes Generales.,1,El artículo 54 de la Constitución española establece que la institución del Defensor del Pueblo se regulará por una ley orgánica.,Constitución Española 1978
"Según el artículo 66 de la Constitución española, las Cortes Generales representan:",La soberanía nacional.,La soberanía popular.,Al pueblo español.,Al Estado.,3,El artículo 66 de la Constitución española establece que las Cortes Generales representan al pueblo español.,Constitución Española 1978
"Los cargos públicos del Sistema judicial que no pueden, de acuerdo con el artículo 127 de la Constitución española, ejercer otros cargos públicos ni pertenecer a partidos políticos o a sindicatos mientras sigan en activo son:",Solo los jueces.,Los magistrados y los fiscales.,Los jueces y los magistrados.,"Los jueces, los magistrados y también los fiscales.",3,El artículo 127 de la Constitución española establece que los jueces y magistrados no pueden ejercer otros cargos públicos ni pertenecer a partidos políticos o sindicatos mientras estén en activo.,Constitución Española 1978
"Según el artículo 62 de la Constitución española, ¿a quién corresponde convocar y disolver las Cortes Generales y convocar elecciones?",Al presidente del Gobierno.,Al presidente del Congreso de los Diputados.,Al rey.,Al Gobierno.,3,El artículo 62 de la Constitución española establece que corresponde al rey convocar y disolver las Cortes Generales y convocar elecciones.,Constitución Española 1978
